date,location_key,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,death_rate,recover_rate
2022-04-30,AR_B_728,5395,98,,14681,0.018164967562557924,
2022-04-29,AR_B_735,5499,60,,11468,0.010911074740861976,
2022-04-26,AR_B_742,1698,40,,3903,0.023557126030624265,
2022-04-30,AR_B_749,39258,764,,118410,0.01946100157929594,
2022-04-30,AR_B_756,80431,1191,,319969,0.014807723390235108,
2022-04-30,AR_B_760,71640,1144,,219206,0.015968732551647123,
2022-04-30,AR_B_763,27430,636,,57961,0.023186292380605177,
2022-04-29,AR_B_770,11893,248,,35276,0.020852602371142687,
2022-04-30,AR_B_778,16625,216,,43331,0.012992481203007519,
2022-04-30,AR_B_784,2554,37,,4769,0.014487079091620987,
2022-04-30,AR_B_791,35279,475,,88390,0.013464100456362142,
2022-04-26,AR_B_798,2634,31,,5288,0.011769172361427487,
2022-04-30,AR_B_805,89966,1247,,287538,0.013860791854700665,
2022-04-26,AR_B_812,295,2,,729,0.006779661016949152,
2022-04-23,AR_B_819,2452,41,,4870,0.016721044045676998,
2022-04-30,AR_B_826,14556,199,,42719,0.013671338279747184,
2022-04-29,AR_B_833,10785,238,,22463,0.022067686601761706,
2022-04-30,AR_B_840,89602,1557,,254227,0.017376844266869043,
2022-04-30,AR_B_847,1829,19,,3609,0.01038819026790596,
2022-04-29,AR_B_854,7340,128,,17460,0.017438692098092644,
2022-04-30,AR_B_861,67013,1050,,291436,0.01566860161461209,
2022-04-30,AR_B_868,7069,88,,19425,0.012448719762342624,
2022-04-30,AR_B_875,3251,65,,6131,0.019993848046754845,
2022-04-30,AR_B_882,28795,435,,73902,0.015106789373155061,
2022-05-01,AR_C,1014153,12549,,5183899,0.012373872581356067,
2022-04-30,AR_C_001,41045,389,,188983,0.009477402850529906,
2022-04-30,AR_C_002,26879,277,,152330,0.010305442910822575,
2022-04-30,AR_C_003,33682,392,,145298,0.011638263761059319,
2022-04-30,AR_C_004,42059,452,,176251,0.010746808055350816,
