date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-04-30,AR_M_035,0,0,,1,5253,91,,13456
2022-04-27,AR_M_042,0,0,,1,1314,21,,3528
2022-04-30,AR_M_049,0,0,,1,30703,469,,89679
2022-04-29,AR_M_056,0,0,,3,3971,96,,11648
2022-04-30,AR_M_063,0,0,,2,22473,244,,63022
2022-04-30,AR_M_070,1,0,,3,27952,433,,76047
2022-04-30,AR_M_077,0,0,,1,3780,54,,7484
2022-04-30,AR_M_084,0,0,,1,7445,132,,20585
2022-04-30,AR_M_091,0,0,,3,4625,94,,12999
2022-04-30,AR_M_098,0,0,,2,12949,265,,35539
2022-04-28,AR_M_105,2,0,,4,30041,787,,79354
2022-04-28,AR_M_112,0,0,,1,2188,28,,5288
2022-04-29,AR_M_119,0,0,,1,10510,174,,22572
2022-04-30,AR_M_126,0,0,,1,5506,100,,15415
2022-04-30,AR_N,77,0,,109,71760,932,,187512
2022-04-30,AR_N_007,0,0,,1,2772,34,,6330
2022-04-29,AR_N_014,31,0,,32,1810,36,,4132
2022-04-30,AR_N_021,1,0,,1,1580,14,,4153
2022-04-30,AR_N_028,8,0,,31,33843,322,,90018
2022-04-30,AR_N_035,9,0,,9,437,4,,915
2022-04-29,AR_N_042,0,0,,1,6834,103,,18678
2022-04-29,AR_N_049,6,0,,6,1386,20,,3274
2022-04-29,AR_N_056,1,0,,2,2839,50,,5125
2022-04-30,AR_N_063,1,0,,2,3735,91,,13796
2022-04-30,AR_N_070,19,0,,20,2200,15,,4994
2022-04-30,AR_N_077,16,0,,17,2173,27,,5640
2022-04-30,AR_N_084,0,0,,1,2661,28,,5766
2022-04-30,AR_N_091,0,0,,3,5407,108,,14270
2022-04-30,AR_N_098,23,0,,24,2054,38,,5594
2022-04-26,AR_N_105,0,0,,1,627,10,,1554
2022-04-27,AR_N_112,1,0,,1,734,21,,1575
2022-04-29,AR_N_119,2,0,,2,633,11,,1469
2022-04-30,AR_P,1,0,,139,113916,1297,,782201
2022-04-30,AR_P_007,0,0,,2,1897,36,,10844
2022-04-30,AR_P_014,1,0,,89,63332,654,,418116
2022-04-30,AR_P_021,0,0,,3,4211,27,,36813
2022-04-30,AR_P_028,0,0,,1,1618,37,,17533
2022-04-30,AR_P_035,0,0,,18,13278,145,,92811
2022-04-30,AR_P_042,0,0,,4,3563,31,,12630
2022-04-30,AR_P_049,0,0,,10,12618,230,,100309
2022-04-30,AR_P_056,0,0,,11,11886,112,,83666
2022-04-28,AR_P_063,0,0,,1,1387,24,,8711
2022-04-30,AR_Q,1,0,,6,168195,2567,,293393
2022-04-29,AR_Q_007,0,0,,6,2511,39,,4365
2022-04-30,AR_Q_014,1,0,,1,3136,49,,5762
2022-04-08,AR_Q_021,0,0,,1,350,3,,453
2022-04-29,AR_Q_028,0,0,,1,1196,23,,1822
2022-04-30,AR_Q_035,0,0,,2,111307,1742,,195896
2022-04-29,AR_Q_042,0,0,,3,4545,30,,6807
2022-04-29,AR_Q_049,0,0,,2,4281,56,,7629
2022-04-30,AR_Q_056,0,0,,1,11377,107,,23641
2022-04-26,AR_Q_063,0,0,,3,1360,31,,2234
2022-04-30,AR_Q_070,0,0,,2,5306,54,,8915
2022-04-29,AR_Q_077,0,0,,2,2735,15,,3781
2022-04-28,AR_Q_084,0,0,,1,1339,10,,1649
2022-04-28,AR_Q_091,0,0,,3,6244,92,,9797
2022-04-15,AR_Q_098,0,0,,1,903,23,,1605
2022-04-28,AR_Q_105,0,0,,1,2149,49,,3071
2022-04-29,AR_Q_112,0,0,,4,9288,242,,15576
2022-04-30,AR_R,2,0,,29,146066,2613,,324978
2022-04-30,AR_R_007,0,0,,1,13302,229,,35817
2022-04-30,AR_R_014,0,0,,1,7814,139,,14945
2022-04-30,AR_R_021,0,0,,25,41582,568,,100745
2022-04-20,AR_R_028,0,0,,2,1164,34,,2427
2022-04-25,AR_R_035,0,0,,1,627,10,,890
2022-04-30,AR_R_042,1,0,,1,64404,1287,,134531
2022-04-10,AR_R_049,0,0,,1,510,3,,977
2022-04-28,AR_R_063,0,0,,1,3242,34,,7229
2022-04-28,AR_R_070,1,0,,1,2032,49,,4128
2022-04-30,AR_R_077,1,0,,1,7154,141,,15567
2022-03-30,AR_R_084,0,0,,1,754,21,,892
2022-04-25,AR_R_091,0,0,,1,3246,92,,6344
2022-04-30,AR_S,3,0,,57,737737,9388,,1673202
2022-04-26,AR_S_007,0,0,,2,7348,54,,17826
2022-04-29,AR_S_014,0,0,,6,16678,261,,32194
2022-04-30,AR_S_021,0,0,,1,42721,539,,93885
2022-04-29,AR_S_028,0,0,,4,18635,199,,37327
2022-04-29,AR_S_035,0,0,,1,3215,34,,7437
2022-04-29,AR_S_042,0,0,,3,37339,563,,81003
